index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds,thinking_tokens,total_tokens,thinking_enabled
92,q_92,Emergency_Department,30,30,True,2042,13.321983,641,4130,True
93,q_93,Emergency_Department,57,57,True,736,10.198193,587,3680,True
94,q_94,Emergency_Department,37,37,True,1178,13.076857,681,3881,True
95,q_95,Emergency_Department,35,35,True,1563,13.413966,802,4144,True
96,q_96,Emergency_Department,23,23,True,1380,12.43081,699,3963,True
97,q_97,Emergency_Department,20,20,True,1751,13.51164,724,4090,True
98,q_98,Emergency_Department,24,24,True,1341,11.660054,654,3902,True
99,q_99,Emergency_Department,30,30,True,1837,13.702569,657,4105,True
100,q_100,Emergency_Department,57,57,True,1300,11.124727,669,3902,True
101,q_101,Emergency_Department,37,37,True,1924,14.844335,950,4331,True
102,q_102,Emergency_Department,35,35,True,1683,11.388469,601,3983,True
103,q_103,Emergency_Department,23,23,True,1270,12.793258,719,3973,True
104,q_104,Emergency_Department,20,20,True,1846,14.035292,774,4198,True
105,q_105,Emergency_Department,24,24,True,1532,11.773533,628,3940,True
106,q_106,Emergency_Department,30,30,True,1666,12.445576,605,3994,True
107,q_107,Emergency_Department,57,57,True,1071,10.651963,604,3801,True
108,q_108,Emergency_Department,37,37,True,793,9.844338,655,3755,True
109,q_109,Emergency_Department,35,35,True,1959,14.56368,868,4327,True
110,q_110,Emergency_Department,23,23,True,1445,13.244451,750,4050,True
111,q_111,Emergency_Department,20,20,True,1668,14.77417,737,4111,True
112,q_112,Emergency_Department,24,24,True,1594,12.54835,699,4011,True
113,q_113,UMDvsUNC,34,34,True,589,7.689827,343,3147,True
114,q_114,UMDvsUNC,69,69,True,492,7.596539,487,3258,True
115,q_115,UMDvsUNC,35,35,True,1141,10.139189,564,3539,True
116,q_116,UMDvsUNC,14,14,True,533,9.518778,674,3456,True
117,q_117,UMDvsUNC,15,15,True,862,9.940854,678,3545,True
118,q_118,UMDvsUNC,23,23,True,1576,11.190973,622,3736,True
119,q_119,UMDvsUNC,16,16,True,1122,10.537032,575,3541,True
120,q_120,UMDvsUNC,10,10,True,1460,12.154817,703,3795,True
121,q_121,UMDvsUNC,34,34,True,523,9.84305,680,2954,True
122,q_122,UMDvsUNC,69,69,True,647,8.058018,527,2826,True
123,q_123,UMDvsUNC,35,35,True,1414,10.738316,576,3147,True
124,q_124,UMDvsUNC,14,14,True,754,11.053732,745,3058,True
125,q_125,UMDvsUNC,15,15,True,749,11.737155,829,3149,True
126,q_126,UMDvsUNC,23,23,True,1194,13.064347,908,3363,True
127,q_127,UMDvsUNC,10,10,True,490,10.271397,780,3052,True
128,q_128,UMDvsUNC,indeterminate,indeterminate,True,1070,11.208087,661,3062,True
129,q_129,UMDvsUNC,34,34,True,590,11.105752,808,2576,True
130,q_130,UMDvsUNC,69,69,True,474,10.015259,728,2459,True
131,q_131,UMDvsUNC,35,35,True,978,10.750823,669,2561,True
132,q_132,UMDvsUNC,14,14,True,535,8.419497,632,2376,True
133,q_133,UMDvsUNC,15,15,True,669,8.168163,528,2322,True
134,q_134,UMDvsUNC,15,15,True,1174,12.632268,702,2658,True
135,q_135,UMDvsUNC,indeterminate,indeterminate,True,579,9.101508,645,2405,True
136,q_136,UMDvsUNC,indeterminate,indeterminate,True,900,9.848911,665,2523,True
137,q_137,UMDvsUNC,34,34,True,477,6.841511,375,2116,True
138,q_138,UMDvsUNC,69,69,True,540,9.016164,633,2383,True
139,q_139,UMDvsUNC,35,35,True,1139,12.044411,820,2758,True
140,q_140,UMDvsUNC,14,14,True,782,7.181562,360,2167,True
141,q_141,UMDvsUNC,15,15,True,761,10.134289,724,2528,True
142,q_142,UMDvsUNC,15,15,True,821,11.877355,920,2767,True
143,q_143,UMDvsUNC,indeterminate,indeterminate,True,566,9.456722,659,2425,True
144,q_144,UMDvsUNC,indeterminate,indeterminate,True,717,10.883028,812,2601,True
145,q_145,UMDvsUNC,34,34,True,620,7.087119,353,2127,True
146,q_146,UMDvsUNC,69,69,True,742,8.672451,588,2384,True
147,q_147,UMDvsUNC,35,35,True,801,9.73257,671,2517,True
148,q_148,UMDvsUNC,indeterminate,34,False,850,10.124758,596,2418,True
149,q_149,UMDvsUNC,indeterminate,indeterminate,True,794,8.702241,477,2284,True
150,q_150,UMDvsUNC,indeterminate,indeterminate,True,1308,13.235598,814,2751,True
151,q_151,UMDvsUNC,indeterminate,indeterminate,True,679,10.301852,736,2530,True
152,q_152,UMDvsUNC,indeterminate,indeterminate,True,811,10.146103,602,2414,True
153,q_153,UMDvsUNC,34,34,True,700,10.199721,651,2442,True
154,q_154,UMDvsUNC,69,69,True,724,9.308339,578,2381,True
155,q_155,UMDvsUNC,35,35,True,891,10.962825,737,2601,True
156,q_156,UMDvsUNC,indeterminate,34,False,715,11.067986,739,2545,True
157,q_157,UMDvsUNC,indeterminate,0,False,749,9.507194,638,2442,True
158,q_158,UMDvsUNC,indeterminate,indeterminate,True,1295,11.441728,702,2624,True
159,q_159,UMDvsUNC,indeterminate,indeterminate,True,516,10.139341,696,2466,True
160,q_160,UMDvsUNC,indeterminate,indeterminate,True,922,12.776623,866,2706,True
161,q_161,UMDvsUNC,34,0,False,991,13.071009,782,3178,True
162,q_162,UMDvsUNC,60,58,False,2887,19.481714,937,3851,True
163,q_163,UMDvsUNC,23,4,False,1166,12.384874,786,3213,True
164,q_164,UMDvsUNC,24,15,False,1286,12.750267,663,3129,True
165,q_165,UMDvsUNC,53,45,False,1283,13.338069,777,3260,True
166,q_166,UMDvsUNC,8,8,True,1305,13.046916,780,3248,True
167,q_167,UMDvsUNC,4,4,True,724,7.221574,357,2664,True
168,q_168,UMDvsUNC,34,27,False,742,10.937729,580,2383,True
169,q_169,UMDvsUNC,69,69,True,4675,22.107598,799,3732,True
170,q_170,UMDvsUNC,22,22,True,1105,9.608475,550,2432,True
171,q_171,UMDvsUNC,24,24,True,1244,10.888803,634,2553,True
172,q_172,UMDvsUNC,49,23,False,1214,12.374135,757,2708,True
173,q_173,UMDvsUNC,8,8,True,720,10.475451,769,2582,True
174,q_174,UMDvsUNC,indeterminate,indeterminate,True,700,9.496552,622,2413,True
175,q_175,UMDvsUNC,34,34,True,701,9.027795,591,1870,True
176,q_176,UMDvsUNC,69,23,False,1069,12.134066,811,2190,True
177,q_177,UMDvsUNC,22,22,True,1104,11.211451,646,2043,True
178,q_178,UMDvsUNC,24,24,True,559,5.615907,232,1479,True
179,q_179,UMDvsUNC,49,49,True,1318,10.831602,585,2045,True
180,q_180,UMDvsUNC,indeterminate,indeterminate,True,862,9.150121,629,1938,True
181,q_181,UMDvsUNC,indeterminate,indeterminate,True,998,10.132853,620,1965,True
182,q_182,UMDvsUNC,34,34,True,777,9.159434,577,1873,True
183,q_183,UMDvsUNC,69,23,False,937,8.879816,580,1903,True
184,q_184,UMDvsUNC,22,22,True,1019,10.175674,665,2029,True
185,q_185,UMDvsUNC,24,24,True,952,9.678829,638,1967,True
186,q_186,UMDvsUNC,49,49,True,919,10.564016,689,2037,True
187,q_187,UMDvsUNC,indeterminate,indeterminate,True,1069,9.52149,538,1921,True
188,q_188,UMDvsUNC,indeterminate,indeterminate,True,825,7.533488,401,1706,True
189,q_189,UMDvsUNC,34,34,True,729,11.369521,813,1583,True
190,q_190,UMDvsUNC,69,0,False,984,10.178691,713,1542,True
191,q_191,UMDvsUNC,22,22,True,945,10.797171,767,1593,True
192,q_192,UMDvsUNC,24,24,True,613,9.177233,615,1349,True
193,q_193,UMDvsUNC,34,34,True,1687,12.196427,709,1714,True
194,q_194,UMDvsUNC,indeterminate,indeterminate,True,921,10.29178,660,1471,True
195,q_195,UMDvsUNC,indeterminate,indeterminate,True,816,9.721802,646,1442,True
196,q_196,UMDvsUNC,34,34,True,763,10.192728,638,1425,True
197,q_197,UMDvsUNC,69,23,False,1085,10.621111,716,1579,True
198,q_198,UMDvsUNC,22,22,True,555,8.958569,604,1319,True
199,q_199,UMDvsUNC,24,24,True,525,7.647694,536,1244,True
200,q_200,UMDvsUNC,34,34,True,1306,12.350871,728,1628,True
201,q_201,UMDvsUNC,indeterminate,indeterminate,True,748,10.587616,813,1587,True
202,q_202,UMDvsUNC,indeterminate,indeterminate,True,824,10.751556,719,1512,True
203,q_203,UMDvsUNC,1,1,True,771,10.107242,574,3681,True
204,q_204,UMDvsUNC,21,21,True,2599,16.175068,740,4424,True
205,q_205,UMDvsUNC,33,33,True,990,12.245783,668,3876,True
206,q_206,UMDvsUNC,28,28,True,1028,10.233678,542,3737,True
207,q_207,UMDvsUNC,42,42,True,1140,11.036485,651,3875,True
208,q_208,UMDvsUNC,indeterminate,0,False,1893,14.044091,771,4175,True
209,q_209,UMDvsUNC,21,21,True,2157,15.488796,754,4324,True
210,q_210,UMDvsUNC,1,1,True,1517,14.144611,762,4111,True
211,q_211,UMDvsUNC,21,21,True,2555,15.904737,668,4364,True
212,q_212,UMDvsUNC,50,50,True,933,11.328377,630,3824,True
213,q_213,UMDvsUNC,27,27,True,688,10.857923,685,3783,True
214,q_214,UMDvsUNC,34,34,True,1347,11.644451,660,3943,True
215,q_215,UMDvsUNC,indeterminate,0,False,2214,15.645789,738,4176,True
216,q_216,UMDvsUNC,16,indeterminate,False,2519,16.375498,805,4397,True
217,q_217,UMDvsUNC,1,1,True,1267,14.444479,836,4049,True
218,q_218,UMDvsUNC,25,27,False,2970,17.491159,631,4449,True
219,q_219,UMDvsUNC,43,43,True,558,9.815245,613,3677,True
220,q_220,UMDvsUNC,31,31,True,710,10.431561,644,3751,True
221,q_221,UMDvsUNC,39,39,True,1150,10.648116,573,3790,True
222,q_222,UMDvsUNC,indeterminate,indeterminate,True,1515,12.774702,738,4023,True
223,q_223,UMDvsUNC,22,20,False,1913,15.628766,734,4190,True
224,q_224,UMDvsUNC,1,1,True,1350,12.563405,699,3973,True
225,q_225,UMDvsUNC,19,19,True,2510,16.642254,859,4498,True
226,q_226,UMDvsUNC,34,34,True,807,9.496607,509,3634,True
227,q_227,UMDvsUNC,35,37,False,1484,16.183707,1006,4324,True
228,q_228,UMDvsUNC,39,39,True,989,9.998394,462,3661,True
229,q_229,UMDvsUNC,indeterminate,indeterminate,True,698,12.935481,850,3927,True
230,q_230,UMDvsUNC,28,30,False,1909,14.581639,746,4234,True
231,q_231,UMDvsUNC,1,1,True,773,11.44213,663,3758,True
232,q_232,UMDvsUNC,19,19,True,2714,16.236763,629,4316,True
233,q_233,UMDvsUNC,34,34,True,813,8.920132,490,3611,True
234,q_234,UMDvsUNC,30,30,True,1092,11.913245,707,3916,True
235,q_235,UMDvsUNC,40,40,True,1145,11.995056,665,3870,True
236,q_236,UMDvsUNC,3,3,True,1646,13.852028,698,4017,True
237,q_237,UMDvsUNC,22,30,False,2247,17.910494,850,4433,True
238,q_238,UMDvsUNC,1,1,True,1050,13.603736,853,4015,True
239,q_239,UMDvsUNC,23,23,True,2849,17.446481,735,4506,True
240,q_240,UMDvsUNC,40,40,True,1162,12.891894,821,4072,True
241,q_241,UMDvsUNC,29,29,True,1277,13.255143,725,3968,True
242,q_242,UMDvsUNC,43,43,True,993,10.778718,591,3767,True
243,q_243,UMDvsUNC,indeterminate,indeterminate,True,1427,15.709546,983,4254,True
244,q_244,UMDvsUNC,19,20,False,2097,17.162448,909,4445,True
