dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
vast_1000,SentenTree,15.0,general gate->general gate,221,1.0,2.0,1.0
vast_1000,SentenTree,20.0,221->entrance,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,221->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,359->573,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,429->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,434->exit,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,573->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,581->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,794->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,847->general gate,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,947->entrance,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,entrance->434,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,entrance->847,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,general gate->221,1,0.0,2.0,2.0
vast_1000,SentenTree,20.0,general gate->359,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,general gate->429,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,general gate->581,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,general gate->794,1,0.0,1.0,1.0
vast_1000,SentenTree,20.0,start->947,1,0.0,1.0,1.0
